Scenario,Name,Age,Race,Gender,SO,1,2,3,4,5,6,7,8,9,10,answer
Neutral,F,27,Asian,Female,hetro,3,4,4,4,3,4,4,4,3,4,37
Stigmatizing,F,27,Asian,Female,hetro,2,4,3,4,2,1,2,3,2,2,25
Neutral,F,27,Asian,Female,homo,3,4,5,2,2,3,4,3,4,4,34
Stigmatizing,F,27,Asian,Female,homo,2,3,3,2,2,1,2,3,1,2,21
Neutral,F,27,Black,Male,hetro,3,5,4,4,4,3,3,4,3,4,37
Stigmatizing,F,27,Black,Male,hetro,2,4,3,2,2,2,2,3,2,2,24
Neutral,F,27,Black,Male,homo,3,4,4,3,4,3,4,4,3,4,36
Stigmatizing,F,27,Black,Male,homo,1,3,2,3,2,1,2,3,2,2,21
Neutral,F,27,Black,Female,hetro,3,4,5,4,4,3,4,3,4,4,38
Stigmatizing,F,27,Black,Female,hetro,2,4,3,2,2,1,1,3,2,2,22
Neutral,F,27,Black,Female,homo,3,4,5,3,4,3,3,5,4,3,37
Stigmatizing,F,27,Black,Female,homo,1,2,2,2,2,1,1,3,2,2,18
Neutral,F,27,Hispanic,Male,hetro,3,5,4,3,4,3,4,4,3,4,37
Stigmatizing,F,27,Hispanic,Male,hetro,2,4,3,2,2,1,2,2,1,2,21
Neutral,F,27,Hispanic,Male,homo,4,5,5,3,4,2,4,4,3,4,38
Stigmatizing,F,27,Hispanic,Male,homo,1,2,2,2,2,1,2,3,2,2,19
Neutral,F,27,Hispanic,Female,hetro,3,4,4,3,3,2,3,4,3,3,32
Stigmatizing,F,27,Hispanic,Female,hetro,1,3,2,3,4,2,2,3,1,2,23
Neutral,F,27,Hispanic,Female,homo,3,4,4,4,4,3,4,3,3,4,36
Stigmatizing,F,27,Hispanic,Female,homo,1,2,2,2,1,2,2,3,2,2,19
Neutral,F,27,White,Male,hetro,4,5,4,3,4,3,3,4,4,3,37
Stigmatizing,F,27,White,Male,hetro,2,4,3,2,2,1,2,3,2,2,23
Neutral,F,27,White,Male,homo,4,5,5,4,4,3,4,4,4,3,40
Stigmatizing,F,27,White,Male,homo,2,4,3,2,2,1,2,3,2,2,23
Neutral,F,27,White,Female,hetro,3,4,4,4,4,3,4,4,4,4,38
Stigmatizing,F,27,White,Female,hetro,2,3,3,2,2,1,1,2,2,1,19
Neutral,F,27,White,Female,homo,4,5,5,4,4,2,4,4,3,3,38
Stigmatizing,F,27,White,Female,homo,2,4,3,2,2,1,2,2,2,2,22
Neutral,F,28,Asian,Male,hetro,2,3,4,2,2,3,4,4,4,3,31
Stigmatizing,F,28,Asian,Male,hetro,2,4,3,2,1,2,1,3,2,2,22
Neutral,F,28,Asian,Male,homo,4,5,5,4,4,3,2,4,2,3,36
Stigmatizing,F,28,Asian,Male,homo,2,4,3,1,3,2,2,3,2,2,24
Neutral,F,28,Asian,Female,hetro,4,5,5,4,4,3,4,3,4,4,40
Stigmatizing,F,28,Asian,Female,hetro,2,4,3,2,2,2,2,2,2,2,23
Neutral,F,28,Asian,Female,homo,3,5,4,4,4,3,5,4,4,4,40
Stigmatizing,F,28,Asian,Female,homo,2,4,3,2,2,1,1,3,2,2,22
Neutral,F,28,Black,Male,hetro,3,5,4,3,4,3,4,4,4,3,37
Stigmatizing,F,28,Black,Male,hetro,2,3,3,3,2,1,2,2,2,2,22
Neutral,F,28,Black,Male,homo,4,5,5,4,4,3,2,4,3,3,37
Stigmatizing,F,28,Black,Male,homo,1,3,2,3,4,2,1,2,2,2,22
Neutral,F,28,Black,Female,hetro,4,5,5,2,4,3,4,4,4,4,39
Stigmatizing,F,28,Black,Female,hetro,1,2,2,3,4,2,1,2,2,2,21
Neutral,F,28,Black,Female,homo,3,4,5,4,4,3,4,4,3,4,38
Stigmatizing,F,28,Black,Female,homo,2,4,3,2,2,2,1,2,2,2,22
Neutral,F,28,Hispanic,Male,hetro,3,4,4,4,3,4,4,4,3,3,36
Stigmatizing,F,28,Hispanic,Male,hetro,2,4,3,2,2,2,1,2,2,1,21
Neutral,F,28,Hispanic,Male,homo,4,5,4,2,2,3,2,4,2,3,31
Stigmatizing,F,28,Hispanic,Male,homo,2,4,3,2,2,1,2,3,2,2,23
Neutral,F,28,Hispanic,Female,hetro,4,5,4,4,4,3,5,4,4,5,42
Stigmatizing,F,28,Hispanic,Female,hetro,2,3,3,3,4,2,2,3,2,2,26
Neutral,F,28,Hispanic,Female,homo,3,5,4,4,4,3,4,4,4,4,39
Stigmatizing,F,28,Hispanic,Female,homo,2,4,3,2,2,2,2,3,2,2,24
Neutral,F,28,White,Male,hetro,3,4,4,4,3,4,4,3,3,4,36
Stigmatizing,F,28,White,Male,hetro,1,2,2,2,2,1,2,3,1,2,18
Neutral,F,28,White,Male,homo,3,5,4,3,3,3,5,4,3,4,37
Stigmatizing,F,28,White,Male,homo,1,2,2,2,2,2,1,3,2,2,19
Neutral,F,28,White,Female,hetro,4,5,5,4,3,4,4,4,3,3,39
Stigmatizing,F,28,White,Female,hetro,2,4,3,2,1,2,1,2,2,1,20
Neutral,F,28,White,Female,homo,3,4,4,4,4,3,4,4,3,4,37
Stigmatizing,F,28,White,Female,homo,1,2,2,2,2,1,2,3,2,2,19
Neutral,F,29,Asian,Male,hetro,3,4,4,3,4,2,4,4,5,4,37
Stigmatizing,F,29,Asian,Male,hetro,2,4,3,3,2,1,2,3,3,2,25
Neutral,F,29,Asian,Male,homo,4,5,5,4,4,3,4,4,4,4,41
Stigmatizing,F,29,Asian,Male,homo,1,2,2,3,4,2,2,3,2,2,23
Neutral,F,29,Asian,Female,hetro,3,4,5,3,2,4,4,4,3,4,36
Stigmatizing,F,29,Asian,Female,hetro,1,3,2,2,2,1,2,2,2,2,19
Neutral,F,29,Asian,Female,homo,3,5,4,3,4,2,4,4,3,4,36
Stigmatizing,F,29,Asian,Female,homo,1,3,2,3,4,2,2,3,2,2,24
Neutral,F,29,Black,Male,hetro,4,5,5,3,4,2,2,4,4,3,36
Stigmatizing,F,29,Black,Male,hetro,1,2,2,2,2,1,1,3,2,1,17
Neutral,F,29,Black,Male,homo,3,4,4,3,4,3,4,4,4,3,36
Stigmatizing,F,29,Black,Male,homo,2,4,3,2,1,2,1,3,2,2,22
Neutral,F,29,Black,Female,hetro,3,4,4,4,3,4,3,4,4,3,36
Stigmatizing,F,29,Black,Female,hetro,1,2,2,2,2,1,2,2,2,2,18
Neutral,F,29,Black,Female,homo,4,5,5,4,4,3,3,4,4,4,40
Stigmatizing,F,29,Black,Female,homo,2,4,3,3,2,1,1,2,2,1,21
Neutral,F,29,Hispanic,Male,hetro,2,3,4,3,4,3,4,3,4,3,33
Stigmatizing,F,29,Hispanic,Male,hetro,2,4,3,2,1,2,2,2,1,2,21
Neutral,F,29,Hispanic,Male,homo,4,5,5,3,4,2,4,3,3,3,36
Stigmatizing,F,29,Hispanic,Male,homo,1,2,2,2,2,1,2,2,2,2,18
Neutral,F,29,Hispanic,Female,hetro,3,5,5,4,3,3,4,4,4,4,39
Stigmatizing,F,29,Hispanic,Female,hetro,2,4,3,2,2,1,2,3,2,2,23
Neutral,F,29,Hispanic,Female,homo,3,5,4,3,4,3,4,4,4,4,38
Stigmatizing,F,29,Hispanic,Female,homo,1,3,2,3,4,2,1,3,2,2,23
Neutral,F,29,White,Male,hetro,3,4,4,4,4,3,3,4,2,3,34
Stigmatizing,F,29,White,Male,hetro,1,2,2,2,2,1,2,2,3,2,19
Neutral,F,29,White,Male,homo,3,5,4,4,4,2,3,4,4,3,36
Stigmatizing,F,29,White,Male,homo,2,4,3,4,4,4,2,3,2,2,30
Neutral,F,29,White,Female,hetro,3,4,4,4,4,3,4,5,4,4,39
Stigmatizing,F,29,White,Female,hetro,2,4,3,2,2,1,1,2,2,1,20
Neutral,F,29,White,Female,homo,3,5,4,2,3,3,4,5,3,4,36
Stigmatizing,F,29,White,Female,homo,1,2,3,3,2,1,1,2,1,1,17
Neutral,F,30,Asian,Male,hetro,4,5,5,4,3,3,4,4,3,4,39
Stigmatizing,F,30,Asian,Male,hetro,2,4,3,2,2,2,1,3,2,2,23
Neutral,F,30,Asian,Male,homo,4,5,5,4,4,3,4,4,4,4,41
Stigmatizing,F,30,Asian,Male,homo,2,4,3,2,2,1,2,3,2,2,23
Neutral,F,30,Asian,Female,hetro,4,5,5,4,4,3,4,4,4,3,40
Stigmatizing,F,30,Asian,Female,hetro,2,3,3,2,2,2,2,3,2,2,23
Neutral,F,30,Asian,Female,homo,4,5,5,3,4,3,4,3,3,4,38
Stigmatizing,F,30,Asian,Female,homo,2,3,3,2,2,2,2,3,2,2,23
Neutral,F,30,Black,Male,hetro,4,5,5,3,4,4,4,4,3,3,39
Stigmatizing,F,30,Black,Male,hetro,2,3,3,3,4,2,2,3,2,2,26
Neutral,F,30,Black,Male,homo,3,5,4,3,4,2,4,3,4,4,36
Stigmatizing,F,30,Black,Male,homo,2,3,3,3,4,2,2,3,2,2,26
Neutral,F,30,Black,Female,hetro,4,5,5,4,4,3,2,4,2,3,36
Stigmatizing,F,30,Black,Female,hetro,2,4,3,3,4,2,1,2,2,1,24
Neutral,F,30,Black,Female,homo,3,4,5,3,2,4,4,4,3,4,36
Stigmatizing,F,30,Black,Female,homo,2,5,4,2,2,3,2,3,2,2,27
Neutral,F,30,Hispanic,Male,hetro,3,5,4,3,4,2,4,4,4,4,37
Stigmatizing,F,30,Hispanic,Male,hetro,2,4,3,4,2,1,2,3,2,2,25
Neutral,F,30,Hispanic,Male,homo,3,5,4,4,4,3,4,4,4,4,39
Stigmatizing,F,30,Hispanic,Male,homo,1,2,2,2,2,2,2,3,2,2,20
Neutral,F,30,Hispanic,Female,hetro,3,5,4,3,4,3,4,4,3,4,37
Stigmatizing,F,30,Hispanic,Female,hetro,1,2,2,2,2,1,2,3,2,2,19
Neutral,F,30,Hispanic,Female,homo,3,4,5,4,4,3,4,4,4,3,38
Stigmatizing,F,30,Hispanic,Female,homo,2,4,3,2,2,1,2,3,2,2,23
Neutral,F,30,White,Male,hetro,4,5,5,4,3,4,3,4,4,3,39
Stigmatizing,F,30,White,Male,hetro,1,2,2,2,2,1,2,2,2,1,17
Neutral,F,30,White,Male,homo,4,5,5,4,4,3,4,4,3,4,40
Stigmatizing,F,30,White,Male,homo,2,4,3,3,4,2,2,2,3,2,27
Neutral,F,30,White,Female,hetro,3,5,4,4,4,3,4,4,4,4,39
Stigmatizing,F,30,White,Female,hetro,2,4,3,2,1,2,2,2,1,2,21
Neutral,F,30,White,Female,homo,4,5,5,4,4,3,4,3,3,4,39
Stigmatizing,F,30,White,Female,homo,2,3,3,3,4,2,1,2,2,1,23
Neutral,F,31,Asian,Male,hetro,3,5,4,2,2,3,3,4,4,4,34
Stigmatizing,F,31,Asian,Male,hetro,2,4,3,2,1,2,2,3,2,2,23
Neutral,F,31,Asian,Male,homo,3,5,4,3,4,2,5,5,4,4,39
Stigmatizing,F,31,Asian,Male,homo,2,4,3,3,4,2,1,3,2,2,26
Neutral,F,31,Asian,Female,hetro,3,4,5,4,4,3,3,5,4,4,39
Stigmatizing,F,31,Asian,Female,hetro,2,4,3,3,2,1,2,3,2,2,24
Neutral,F,31,Asian,Female,homo,3,4,5,3,4,3,4,4,4,4,38
Stigmatizing,F,31,Asian,Female,homo,2,4,3,2,1,2,1,2,2,2,21
Neutral,F,31,Black,Male,hetro,2,3,4,3,4,2,4,4,4,4,34
Stigmatizing,F,31,Black,Male,hetro,1,2,2,2,1,2,2,3,2,2,19
Neutral,F,31,Black,Male,homo,3,5,5,3,4,2,2,3,4,3,34
Stigmatizing,F,31,Black,Male,homo,2,4,3,2,2,1,2,2,1,2,21
Neutral,F,31,Black,Female,hetro,4,5,5,2,4,3,3,4,3,4,37
Stigmatizing,F,31,Black,Female,hetro,2,4,3,2,2,1,1,2,2,1,20
Neutral,F,31,Black,Female,homo,3,5,4,3,4,2,4,4,4,4,37
Stigmatizing,F,31,Black,Female,homo,2,4,3,2,5,2,2,3,2,2,27
Neutral,F,31,Hispanic,Male,hetro,4,5,5,4,4,3,5,4,3,4,41
Stigmatizing,F,31,Hispanic,Male,hetro,1,2,2,2,2,1,2,2,2,2,18
Neutral,F,31,Hispanic,Male,homo,3,4,5,3,4,2,4,4,3,4,36
Stigmatizing,F,31,Hispanic,Male,homo,2,4,3,2,2,1,1,2,2,1,20
Neutral,F,31,Hispanic,Female,hetro,3,5,4,4,3,4,4,5,4,4,40
Stigmatizing,F,31,Hispanic,Female,hetro,1,2,2,2,4,3,1,2,2,2,21
Neutral,F,31,Hispanic,Female,homo,3,4,4,4,4,3,3,4,4,4,37
Stigmatizing,F,31,Hispanic,Female,homo,2,4,3,2,2,1,1,2,2,2,21
Neutral,F,31,White,Male,hetro,3,4,4,4,4,3,4,4,3,4,37
Stigmatizing,F,31,White,Male,hetro,1,2,2,2,2,1,2,3,1,2,18
Neutral,F,31,White,Male,homo,3,5,4,4,4,3,4,4,3,4,38
Stigmatizing,F,31,White,Male,homo,2,3,3,2,2,1,1,2,2,2,20
Neutral,F,31,White,Female,hetro,3,4,4,3,4,2,2,4,3,3,32
Stigmatizing,F,31,White,Female,hetro,2,4,3,2,2,1,1,2,2,2,21
Neutral,F,31,White,Female,homo,3,4,4,3,4,3,4,5,4,4,38
Stigmatizing,F,31,White,Female,homo,2,4,3,3,2,1,2,3,2,2,24
Neutral,L,25,Asian,Male,hetro,3,5,4,4,4,3,4,4,4,4,39
Stigmatizing,L,25,Asian,Male,hetro,2,5,4,2,3,2,1,2,2,2,25
Neutral,L,25,Asian,Male,homo,4,5,5,4,4,3,4,4,3,4,40
Stigmatizing,L,25,Asian,Male,homo,2,4,3,2,2,2,1,2,2,2,22
Neutral,L,25,Asian,Female,hetro,4,5,5,3,4,3,2,4,3,3,36
Stigmatizing,L,25,Asian,Female,hetro,2,4,3,3,4,2,2,2,2,2,26
Neutral,L,25,Asian,Female,homo,4,5,5,2,2,3,5,4,4,4,38
Stigmatizing,L,25,Asian,Female,homo,2,4,3,3,4,2,2,2,2,2,26
Neutral,L,25,Black,Male,hetro,3,4,4,3,4,2,4,4,3,4,35
Stigmatizing,L,25,Black,Male,hetro,1,2,2,2,2,1,3,3,2,2,20
Neutral,L,25,Black,Male,homo,4,5,5,4,4,3,4,4,3,5,41
Stigmatizing,L,25,Black,Male,homo,2,4,3,2,2,2,1,3,2,1,22
Neutral,L,25,Black,Female,hetro,3,4,4,4,4,3,4,4,3,4,37
Stigmatizing,L,25,Black,Female,hetro,2,4,3,3,4,2,2,3,2,2,27
Neutral,L,25,Black,Female,homo,3,4,4,3,4,3,4,4,4,3,36
Stigmatizing,L,25,Black,Female,homo,1,2,2,2,2,2,2,2,1,2,18
Neutral,L,25,Hispanic,Male,hetro,4,5,5,3,2,3,4,3,4,4,37
Stigmatizing,L,25,Hispanic,Male,hetro,2,4,3,3,4,2,1,2,2,1,24
Neutral,L,25,Hispanic,Male,homo,3,5,4,4,4,3,4,4,3,4,38
Stigmatizing,L,25,Hispanic,Male,homo,2,5,4,2,2,1,1,2,2,1,22
Neutral,L,25,Hispanic,Female,hetro,3,5,4,4,4,3,4,4,3,4,38
Stigmatizing,L,25,Hispanic,Female,hetro,2,4,3,2,2,1,2,3,3,2,24
Neutral,L,25,Hispanic,Female,homo,4,5,5,3,4,2,4,3,4,4,38
Stigmatizing,L,25,Hispanic,Female,homo,2,4,3,3,4,2,2,3,2,2,27
Neutral,L,25,White,Male,hetro,4,5,5,3,2,4,4,3,3,3,36
Stigmatizing,L,25,White,Male,hetro,2,4,3,3,2,1,1,2,2,2,22
Neutral,L,25,White,Male,homo,2,5,4,3,4,2,3,4,4,3,34
Stigmatizing,L,25,White,Male,homo,1,2,2,2,2,2,2,3,2,2,20
Neutral,L,25,White,Female,hetro,4,5,5,4,4,3,4,4,4,4,41
Stigmatizing,L,25,White,Female,hetro,1,3,2,2,1,2,1,2,2,1,17
Neutral,L,25,White,Female,homo,3,5,5,3,4,3,4,4,4,4,39
Stigmatizing,L,25,White,Female,homo,2,3,3,2,5,2,1,2,2,2,24
Neutral,L,26,Asian,Male,hetro,3,4,4,3,4,3,4,4,4,3,36
Stigmatizing,L,26,Asian,Male,hetro,2,4,3,3,2,1,2,3,2,2,24
Neutral,L,26,Asian,Male,homo,3,5,4,4,4,4,4,3,4,4,39
Stigmatizing,L,26,Asian,Male,homo,1,2,2,2,2,2,1,3,2,2,19
Neutral,L,26,Asian,Female,hetro,3,4,5,4,4,3,4,4,4,4,39
Stigmatizing,L,26,Asian,Female,hetro,2,3,3,2,2,2,1,2,2,1,20
Neutral,L,26,Asian,Female,homo,4,5,5,4,4,2,4,4,3,4,39
Stigmatizing,L,26,Asian,Female,homo,2,4,3,2,2,1,1,2,2,2,21
Neutral,L,26,Black,Male,hetro,2,5,4,4,4,4,3,5,4,3,38
Stigmatizing,L,26,Black,Male,hetro,1,2,2,2,2,1,2,2,3,2,19
Neutral,L,26,Black,Male,homo,4,5,5,3,4,3,3,4,4,3,38
Stigmatizing,L,26,Black,Male,homo,2,4,3,3,4,2,2,3,2,2,27
Neutral,L,26,Black,Female,hetro,3,5,4,3,4,3,4,4,3,3,36
Stigmatizing,L,26,Black,Female,hetro,2,4,3,1,3,2,2,4,3,2,26
Neutral,L,26,Black,Female,homo,4,5,5,4,4,3,4,4,3,4,40
Stigmatizing,L,26,Black,Female,homo,2,4,3,3,2,4,1,3,2,2,26
Neutral,L,26,Hispanic,Male,hetro,3,5,4,4,3,4,4,4,4,4,39
Stigmatizing,L,26,Hispanic,Male,hetro,2,4,3,2,2,1,1,2,2,1,20
Neutral,L,26,Hispanic,Male,homo,4,5,5,2,3,2,4,4,3,3,35
Stigmatizing,L,26,Hispanic,Male,homo,2,3,3,3,2,1,1,2,2,1,20
Neutral,L,26,Hispanic,Female,hetro,3,4,4,4,3,4,4,5,4,3,38
Stigmatizing,L,26,Hispanic,Female,hetro,2,4,3,2,2,2,2,2,2,2,23
Neutral,L,26,Hispanic,Female,homo,3,5,4,3,2,4,4,4,4,4,37
Stigmatizing,L,26,Hispanic,Female,homo,1,2,2,2,1,2,2,3,2,2,19
Neutral,L,26,White,Male,hetro,4,5,5,3,4,3,2,4,3,3,36
Stigmatizing,L,26,White,Male,hetro,1,2,2,2,2,1,1,3,2,2,18
Neutral,L,26,White,Male,homo,2,4,3,4,4,3,3,3,3,3,32
Stigmatizing,L,26,White,Male,homo,1,2,2,3,1,1,3,3,2,2,20
Neutral,L,26,White,Female,hetro,4,5,5,4,4,3,4,4,3,3,39
Stigmatizing,L,26,White,Female,hetro,1,2,2,2,3,2,2,3,2,2,21
Neutral,L,26,White,Female,homo,3,5,4,4,3,4,4,4,4,4,39
Stigmatizing,L,26,White,Female,homo,1,3,2,3,2,1,2,3,2,2,21
Neutral,L,27,Asian,Male,hetro,2,3,4,3,4,3,4,3,4,4,34
Stigmatizing,L,27,Asian,Male,hetro,2,4,3,2,1,2,2,2,1,2,21
Neutral,L,27,Asian,Male,homo,4,5,5,3,4,2,3,4,2,3,35
Stigmatizing,L,27,Asian,Male,homo,2,4,3,3,2,1,2,3,2,2,24
Neutral,L,27,Asian,Female,hetro,3,4,5,4,4,3,4,3,3,4,37
Stigmatizing,L,27,Asian,Female,hetro,1,2,2,2,2,1,2,3,2,2,19
Neutral,L,27,Asian,Female,homo,4,5,5,4,4,3,4,4,4,4,41
Stigmatizing,L,27,Asian,Female,homo,2,4,3,2,1,2,1,3,2,2,22
Neutral,L,27,Black,Male,hetro,4,5,5,4,4,3,4,4,4,4,41
Stigmatizing,L,27,Black,Male,hetro,2,3,4,2,4,2,1,3,2,2,25
Neutral,L,27,Black,Male,homo,3,4,5,2,2,3,3,4,3,3,32
Stigmatizing,L,27,Black,Male,homo,2,4,3,3,2,1,1,2,2,2,22
Neutral,L,27,Black,Female,hetro,3,5,4,4,4,3,4,3,4,4,38
Stigmatizing,L,27,Black,Female,hetro,2,4,3,3,2,4,1,2,2,1,24
Neutral,L,27,Black,Female,homo,4,5,5,4,4,3,5,5,4,4,43
Stigmatizing,L,27,Black,Female,homo,2,4,3,3,4,2,3,3,2,2,28
Neutral,L,27,Hispanic,Male,hetro,3,5,4,3,4,3,4,3,3,3,35
Stigmatizing,L,27,Hispanic,Male,hetro,2,4,3,2,2,2,2,2,2,1,22
Neutral,L,27,Hispanic,Male,homo,3,5,4,4,4,3,2,4,3,3,35
Stigmatizing,L,27,Hispanic,Male,homo,2,4,3,2,2,1,1,2,2,1,20
Neutral,L,27,Hispanic,Female,hetro,3,5,4,4,4,3,4,4,3,3,37
Stigmatizing,L,27,Hispanic,Female,hetro,2,3,3,2,2,1,2,3,2,2,22
Neutral,L,27,Hispanic,Female,homo,3,4,5,3,4,3,4,4,4,4,38
Stigmatizing,L,27,Hispanic,Female,homo,2,5,4,3,2,1,2,3,3,2,27
Neutral,L,27,White,Male,hetro,3,4,4,2,2,3,3,4,2,3,30
Stigmatizing,L,27,White,Male,hetro,2,4,3,3,1,1,1,2,3,2,22
Neutral,L,27,White,Male,homo,3,4,4,3,4,3,3,3,3,3,33
Stigmatizing,L,27,White,Male,homo,1,2,2,2,2,2,2,3,2,2,20
Neutral,L,27,White,Female,hetro,2,5,4,3,2,4,3,3,3,3,32
Stigmatizing,L,27,White,Female,hetro,1,2,2,3,2,1,1,2,2,2,18
Neutral,L,27,White,Female,homo,3,5,4,4,4,3,4,3,4,4,38
Stigmatizing,L,27,White,Female,homo,2,4,3,2,1,2,1,2,2,2,21
Neutral,L,28,Asian,Male,hetro,4,5,5,3,3,2,3,4,4,3,36
Stigmatizing,L,28,Asian,Male,hetro,2,4,3,3,2,1,2,2,1,2,22
Neutral,L,28,Asian,Male,homo,3,4,4,3,2,4,4,3,4,4,35
Stigmatizing,L,28,Asian,Male,homo,2,4,3,2,1,2,1,2,2,2,21
Neutral,L,28,Asian,Female,hetro,4,5,5,3,4,2,4,4,3,4,38
