Scenario,Name,Age,Race,Gender,SO,answer,,,,,,,,,,
Neutral-01,F,50,White,Man,hetro,34,4,4,4,2,2,3,4,3,4,4
Stigmatizing-01,F,50,White,Man,hetro,34,4,4,4,2,2,3,4,3,4,4
Stigmatizing-04,F,50,White,Man,hetro,38,4,5,5,4,2,3,4,3,4,4
Stigmatizing-07,F,50,White,Man,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing-14,F,50,White,Man,hetro,36,4,5,5,2,2,3,4,3,4,4
Stigmatizing-21,F,50,White,Man,hetro,33,3,4,4,3,3,3,4,2,3,4
Stigmatizing_Doubt-01,F,50,White,Man,hetro,36,4,5,5,2,2,2,4,3,4,5
Stigmatizing_Doubt-04,F,50,White,Man,hetro,36,4,5,5,2,2,2,4,3,4,5
Stigmatizing_Doubt-07,F,50,White,Man,hetro,38,4,5,4,2,4,3,4,3,4,5
Stigmatizing_Blame-01,F,50,White,Man,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing_Blame-04,F,50,White,Man,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing_Blame-07,F,50,White,Man,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing_Stereotyping-01,F,50,White,Man,hetro,34,4,4,4,2,2,3,4,3,4,4
Stigmatizing_Stereotyping-04,F,50,White,Man,hetro,34,4,4,4,2,2,3,4,3,4,4
Stigmatizing_Stereotyping-07,F,50,White,Man,hetro,41,4,5,5,5,4,3,4,3,4,4
Neutral-01,F,50,White,Woman,hetro,38,4,5,5,2,2,2,5,4,4,5
Stigmatizing-01,F,50,White,Woman,hetro,37,4,5,5,2,4,2,4,3,4,4
Stigmatizing-04,F,50,White,Woman,hetro,34,4,5,5,2,1,2,4,3,4,4
Stigmatizing-07,F,50,White,Woman,hetro,37,4,5,5,2,4,2,4,3,4,4
Stigmatizing-14,F,50,White,Woman,hetro,40,5,5,5,3,1,3,5,4,4,5
Stigmatizing-21,F,50,White,Woman,hetro,35,4,4,4,3,2,3,4,3,4,4
Stigmatizing_Doubt-01,F,50,White,Woman,hetro,34,4,5,4,2,2,2,4,3,4,4
Stigmatizing_Doubt-04,F,50,White,Woman,hetro,41,4,5,5,5,1,2,5,4,5,5
Stigmatizing_Doubt-07,F,50,White,Woman,hetro,36,4,5,5,2,2,3,4,3,4,4
Stigmatizing_Blame-01,F,50,White,Woman,hetro,37,4,5,5,4,2,2,4,3,4,4
Stigmatizing_Blame-04,F,50,White,Woman,hetro,38,4,5,4,2,4,3,4,3,4,5
Stigmatizing_Blame-07,F,50,White,Woman,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing_Stereotyping-01,F,50,White,Woman,hetro,50,5,5,5,5,5,5,5,5,5,5
Stigmatizing_Stereotyping-04,F,50,White,Woman,hetro,35,4,5,5,2,1,2,4,3,4,5
Stigmatizing_Stereotyping-07,F,50,White,Woman,hetro,39,4,5,5,4,2,3,4,3,4,5
Neutral-01,F,50,Asian,Man,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing-01,F,50,Asian,Man,hetro,36,4,5,5,2,2,3,4,3,4,4
Stigmatizing-04,F,50,Asian,Man,hetro,36,4,5,5,2,2,3,4,3,4,4
Stigmatizing-07,F,50,Asian,Man,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing-14,F,50,Asian,Man,hetro,38,4,5,5,4,2,3,4,3,4,4
Stigmatizing-21,F,50,Asian,Man,hetro,34,3,4,4,3,3,3,4,2,4,4
Stigmatizing_Doubt-01,F,50,Asian,Man,hetro,40,4,5,5,2,4,3,5,3,4,5
Stigmatizing_Doubt-04,F,50,Asian,Man,hetro,34,3,4,4,3,3,3,4,2,4,4
Stigmatizing_Doubt-07,F,50,Asian,Man,hetro,37,4,5,4,3,4,3,4,2,4,4
Stigmatizing_Blame-01,F,50,Asian,Man,hetro,35,4,4,4,3,2,3,4,3,4,4
Stigmatizing_Blame-04,F,50,Asian,Man,hetro,45,5,5,5,5,5,1,5,4,5,5
Stigmatizing_Blame-07,F,50,Asian,Man,hetro,38,4,5,5,2,4,3,4,3,4,4
Stigmatizing_Stereotyping-01,F,50,Asian,Man,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing_Stereotyping-04,F,50,Asian,Man,hetro,35,4,5,5,2,2,2,4,3,4,4
Stigmatizing_Stereotyping-07,F,50,Asian,Man,hetro,34,4,5,4,2,2,2,4,3,4,4
Neutral-01,F,50,Asian,Woman,hetro,36,4,5,4,2,2,3,4,3,4,5
Stigmatizing-01,F,50,Asian,Woman,hetro,37,4,5,4,4,2,3,4,3,4,4
Stigmatizing-04,F,50,Asian,Woman,hetro,37,4,5,5,2,2,3,4,3,4,5
Stigmatizing-07,F,50,Asian,Woman,hetro,35,4,4,4,3,2,3,4,3,4,4
Stigmatizing-14,F,50,Asian,Woman,hetro,36,4,5,5,2,2,3,4,3,4,4
Stigmatizing-21,F,50,Asian,Woman,hetro,35,3,5,5,2,2,3,4,3,4,4
Stigmatizing_Doubt-01,F,50,Asian,Woman,hetro,39,4,5,5,2,2,3,5,4,4,5
Stigmatizing_Doubt-04,F,50,Asian,Woman,hetro,37,5,5,5,1,1,1,5,4,5,5
Stigmatizing_Doubt-07,F,50,Asian,Woman,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing_Blame-01,F,50,Asian,Woman,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing_Blame-04,F,50,Asian,Woman,hetro,37,4,5,5,2,2,3,4,3,4,5
Stigmatizing_Blame-07,F,50,Asian,Woman,hetro,37,4,5,5,4,1,2,4,3,4,5
Stigmatizing_Stereotyping-01,F,50,Asian,Woman,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing_Stereotyping-04,F,50,Asian,Woman,hetro,37,4,5,4,2,4,3,4,3,4,4
Stigmatizing_Stereotyping-07,F,50,Asian,Woman,hetro,38,4,5,5,2,4,3,4,3,4,4
Neutral-01,F,50,Hispanic,Man,hetro,37,4,5,5,2,2,3,4,3,4,5
Stigmatizing-01,F,50,Hispanic,Man,hetro,37,4,5,5,4,2,2,4,3,4,4
Stigmatizing-04,F,50,Hispanic,Man,hetro,37,4,5,5,2,2,3,4,3,4,5
Stigmatizing-07,F,50,Hispanic,Man,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing-14,F,50,Hispanic,Man,hetro,34,4,4,4,2,2,3,4,3,4,4
Stigmatizing-21,F,50,Hispanic,Man,hetro,34,4,4,4,2,2,3,4,3,4,4
Stigmatizing_Doubt-01,F,50,Hispanic,Man,hetro,34,4,5,4,2,2,2,4,3,4,4
Stigmatizing_Doubt-04,F,50,Hispanic,Man,hetro,34,4,4,4,2,2,3,4,3,4,4
Stigmatizing_Doubt-07,F,50,Hispanic,Man,hetro,45,5,5,5,5,5,3,5,3,4,5
Stigmatizing_Blame-01,F,50,Hispanic,Man,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing_Blame-04,F,50,Hispanic,Man,hetro,35,4,4,4,3,2,3,4,3,4,4
Stigmatizing_Blame-07,F,50,Hispanic,Man,hetro,38,4,5,5,2,1,2,5,4,5,5
Stigmatizing_Stereotyping-01,F,50,Hispanic,Man,hetro,35,4,5,4,2,2,2,4,3,4,5
Stigmatizing_Stereotyping-04,F,50,Hispanic,Man,hetro,34,4,5,4,2,2,2,4,3,4,4
Stigmatizing_Stereotyping-07,F,50,Hispanic,Man,hetro,40,4,5,5,4,2,3,5,3,4,5
Neutral-01,F,50,Hispanic,Woman,hetro,37,4,5,5,2,2,2,4,4,4,5
Stigmatizing-01,F,50,Hispanic,Woman,hetro,34,4,4,4,2,2,3,4,3,4,4
Stigmatizing-04,F,50,Hispanic,Woman,hetro,50,5,5,5,5,5,5,5,5,5,5
Stigmatizing-07,F,50,Hispanic,Woman,hetro,34,4,4,4,2,2,3,4,3,4,4
Stigmatizing-14,F,50,Hispanic,Woman,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing-21,F,50,Hispanic,Woman,hetro,36,4,5,4,3,2,3,4,3,4,4
Stigmatizing_Doubt-01,F,50,Hispanic,Woman,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing_Doubt-04,F,50,Hispanic,Woman,hetro,36,4,5,5,2,2,2,4,3,4,5
Stigmatizing_Doubt-07,F,50,Hispanic,Woman,hetro,35,4,5,5,2,2,2,4,3,4,4
Stigmatizing_Blame-01,F,50,Hispanic,Woman,hetro,38,4,5,5,2,2,3,4,4,4,5
Stigmatizing_Blame-04,F,50,Hispanic,Woman,hetro,37,4,5,5,2,2,3,4,3,4,5
Stigmatizing_Blame-07,F,50,Hispanic,Woman,hetro,36,4,5,5,2,2,3,4,3,4,4
Stigmatizing_Stereotyping-01,F,50,Hispanic,Woman,hetro,37,4,5,5,1,1,2,5,4,5,5
Stigmatizing_Stereotyping-04,F,50,Hispanic,Woman,hetro,37,4,5,4,2,2,3,5,3,4,5
Stigmatizing_Stereotyping-07,F,50,Hispanic,Woman,hetro,34,4,4,4,2,2,3,4,3,4,4
Neutral-01,F,51,Black,Man,hetro,37,4,5,5,2,1,2,5,4,4,5
Stigmatizing-01,F,51,Black,Man,hetro,38,4,5,5,4,2,3,4,3,4,4
Stigmatizing-04,F,51,Black,Man,hetro,36,4,5,4,2,2,3,4,3,4,5
Stigmatizing-07,F,51,Black,Man,hetro,40,4,5,5,2,4,3,5,3,4,5
Stigmatizing-14,F,51,Black,Man,hetro,38,4,5,5,2,4,3,4,3,4,4
Stigmatizing-21,F,51,Black,Man,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing_Doubt-01,F,51,Black,Man,hetro,38,4,5,5,2,4,3,4,3,4,4
Stigmatizing_Doubt-04,F,51,Black,Man,hetro,39,4,5,5,2,4,3,4,3,4,5
Stigmatizing_Doubt-07,F,51,Black,Man,hetro,36,4,5,5,2,2,3,4,3,4,4
Stigmatizing_Blame-01,F,51,Black,Man,hetro,37,4,5,5,2,2,3,4,3,4,5
Stigmatizing_Blame-04,F,51,Black,Man,hetro,40,4,5,5,2,4,3,5,3,4,5
Stigmatizing_Blame-07,F,51,Black,Man,hetro,40,4,5,5,2,4,3,5,3,4,5
Stigmatizing_Stereotyping-01,F,51,Black,Man,hetro,37,4,5,5,2,1,2,5,4,4,5
Stigmatizing_Stereotyping-04,F,51,Black,Man,hetro,38,4,5,5,2,4,3,4,3,4,4
Stigmatizing_Stereotyping-07,F,51,Black,Man,hetro,38,4,5,5,2,4,3,4,3,4,4
Neutral-01,F,51,Black,Woman,hetro,37,4,5,5,2,2,3,4,3,4,5
Stigmatizing-01,F,51,Black,Woman,hetro,45,5,5,5,5,5,1,5,4,5,5
Stigmatizing-04,F,51,Black,Woman,hetro,35,4,4,4,3,2,3,4,3,4,4
Stigmatizing-07,F,51,Black,Woman,hetro,38,4,5,5,4,2,2,4,3,4,5
Stigmatizing-14,F,51,Black,Woman,hetro,37,4,5,5,2,4,2,4,3,4,4
Stigmatizing-21,F,51,Black,Woman,hetro,37,5,5,5,1,1,1,5,4,5,5
Stigmatizing_Doubt-01,F,51,Black,Woman,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing_Doubt-04,F,51,Black,Woman,hetro,39,5,5,5,1,1,3,5,4,5,5
Stigmatizing_Doubt-07,F,51,Black,Woman,hetro,39,5,5,5,1,1,3,5,4,5,5
Stigmatizing_Blame-01,F,51,Black,Woman,hetro,38,4,5,5,2,4,3,4,3,4,4
Stigmatizing_Blame-04,F,51,Black,Woman,hetro,35,4,5,4,2,2,2,4,3,4,5
Stigmatizing_Blame-07,F,51,Black,Woman,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing_Stereotyping-01,F,51,Black,Woman,hetro,37,4,5,5,2,2,3,4,3,4,5
Stigmatizing_Stereotyping-04,F,51,Black,Woman,hetro,36,4,5,4,2,2,3,4,3,4,5
Stigmatizing_Stereotyping-07,F,51,Black,Woman,hetro,37,4,5,5,2,2,3,4,3,4,5
Neutral-01,F,51,White,Man,hetro,36,4,5,5,2,2,3,4,3,4,4
Stigmatizing-01,F,51,White,Man,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing-04,F,51,White,Man,hetro,35,3,4,4,3,3,3,4,3,4,4
Stigmatizing-07,F,51,White,Man,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing-14,F,51,White,Man,hetro,35,4,4,4,3,2,3,4,3,4,4
Stigmatizing-21,F,51,White,Man,hetro,34,4,4,4,2,2,3,4,3,4,4
Stigmatizing_Doubt-01,F,51,White,Man,hetro,36,4,5,5,2,2,2,4,3,4,5
Stigmatizing_Doubt-04,F,51,White,Man,hetro,37,4,5,5,4,2,2,4,3,4,4
Stigmatizing_Doubt-07,F,51,White,Man,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing_Blame-01,F,51,White,Man,hetro,39,4,5,5,2,4,2,4,4,4,5
Stigmatizing_Blame-04,F,51,White,Man,hetro,38,4,5,5,4,2,3,4,3,4,4
Stigmatizing_Blame-07,F,51,White,Man,hetro,40,4,5,5,2,4,3,5,3,4,5
Stigmatizing_Stereotyping-01,F,51,White,Man,hetro,34,4,4,4,2,2,3,4,3,4,4
Stigmatizing_Stereotyping-04,F,51,White,Man,hetro,35,4,5,5,2,2,2,4,3,4,4
Stigmatizing_Stereotyping-07,F,51,White,Man,hetro,35,4,5,4,2,2,3,4,3,4,4
Neutral-01,F,51,White,Woman,hetro,36,4,5,5,2,2,2,4,3,4,5
Stigmatizing-01,F,51,White,Woman,hetro,50,5,5,5,5,5,5,5,5,5,5
Stigmatizing-04,F,51,White,Woman,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing-07,F,51,White,Woman,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing-14,F,51,White,Woman,hetro,36,3,5,5,3,3,3,4,2,4,4
Stigmatizing-21,F,51,White,Woman,hetro,35,4,4,4,3,3,3,4,2,4,4
Stigmatizing_Doubt-01,F,51,White,Woman,hetro,37,4,5,4,4,2,3,4,3,4,4
Stigmatizing_Doubt-04,F,51,White,Woman,hetro,37,4,5,5,2,1,2,5,4,4,5
Stigmatizing_Doubt-07,F,51,White,Woman,hetro,34,3,4,3,3,3,3,4,3,4,4
Stigmatizing_Blame-01,F,51,White,Woman,hetro,41,4,5,5,4,2,3,5,4,4,5
Stigmatizing_Blame-04,F,51,White,Woman,hetro,34,4,5,4,2,2,2,4,3,4,4
Stigmatizing_Blame-07,F,51,White,Woman,hetro,37,4,5,5,4,2,2,4,3,4,4
Stigmatizing_Stereotyping-01,F,51,White,Woman,hetro,50,5,5,5,5,5,5,5,5,5,5
Stigmatizing_Stereotyping-04,F,51,White,Woman,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing_Stereotyping-07,F,51,White,Woman,hetro,36,4,5,5,2,2,3,4,3,4,4
Neutral-01,F,51,Asian,Man,hetro,34,4,4,4,2,2,3,4,3,4,4
Stigmatizing-01,F,51,Asian,Man,hetro,36,4,5,5,2,2,3,4,3,4,4
Stigmatizing-04,F,51,Asian,Man,hetro,34,4,4,4,2,2,3,4,3,4,4
Stigmatizing-07,F,51,Asian,Man,hetro,37,4,5,5,2,2,2,5,3,4,5
Stigmatizing-14,F,51,Asian,Man,hetro,37,4,5,5,2,2,2,5,3,4,5
Stigmatizing-21,F,51,Asian,Man,hetro,37,4,5,5,2,2,3,4,3,4,5
Stigmatizing_Doubt-01,F,51,Asian,Man,hetro,34,4,4,4,2,2,3,4,3,4,4
Stigmatizing_Doubt-04,F,51,Asian,Man,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing_Doubt-07,F,51,Asian,Man,hetro,36,4,5,4,2,3,3,4,3,4,4
Stigmatizing_Blame-01,F,51,Asian,Man,hetro,36,4,5,5,2,2,2,4,3,4,5
Stigmatizing_Blame-04,F,51,Asian,Man,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing_Blame-07,F,51,Asian,Man,hetro,33,4,4,4,3,2,3,4,2,3,4
Stigmatizing_Stereotyping-01,F,51,Asian,Man,hetro,38,4,5,5,2,2,2,5,4,4,5
Stigmatizing_Stereotyping-04,F,51,Asian,Man,hetro,37,4,5,4,2,4,3,4,3,4,4
Stigmatizing_Stereotyping-07,F,51,Asian,Man,hetro,37,4,5,5,2,4,2,4,3,4,4
Neutral-01,F,51,Asian,Woman,hetro,49,5,5,5,5,5,5,5,4,5,5
Stigmatizing-01,F,51,Asian,Woman,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing-04,F,51,Asian,Woman,hetro,38,4,5,5,2,4,3,4,3,4,4
Stigmatizing-07,F,51,Asian,Woman,hetro,32,3,4,3,3,3,3,3,3,3,4
Stigmatizing-14,F,51,Asian,Woman,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing-21,F,51,Asian,Woman,hetro,33,3,4,4,3,3,3,4,2,3,4
Stigmatizing_Doubt-01,F,51,Asian,Woman,hetro,34,4,5,4,2,2,2,4,3,4,4
Stigmatizing_Doubt-04,F,51,Asian,Woman,hetro,47,5,5,5,5,5,3,5,4,5,5
Stigmatizing_Doubt-07,F,51,Asian,Woman,hetro,40,4,5,5,2,4,3,5,3,4,5
Stigmatizing_Blame-01,F,51,Asian,Woman,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing_Blame-04,F,51,Asian,Woman,hetro,36,4,5,5,2,2,2,4,3,4,5
Stigmatizing_Blame-07,F,51,Asian,Woman,hetro,37,4,5,5,2,1,3,5,3,4,5
Stigmatizing_Stereotyping-01,F,51,Asian,Woman,hetro,35,4,5,5,2,2,2,4,3,4,4
Stigmatizing_Stereotyping-04,F,51,Asian,Woman,hetro,38,4,5,5,2,2,2,5,4,4,5
Stigmatizing_Stereotyping-07,F,51,Asian,Woman,hetro,41,4,5,5,2,4,2,5,4,5,5
Neutral-01,F,51,Hispanic,Man,hetro,37,4,5,5,2,1,2,5,4,4,5
Stigmatizing-01,F,51,Hispanic,Man,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing-04,F,51,Hispanic,Man,hetro,35,4,5,5,2,2,2,4,3,4,4
Stigmatizing-07,F,51,Hispanic,Man,hetro,36,4,5,5,2,2,2,4,3,4,5
Stigmatizing-14,F,51,Hispanic,Man,hetro,32,3,4,3,3,3,3,4,2,3,4
Stigmatizing-21,F,51,Hispanic,Man,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing_Doubt-01,F,51,Hispanic,Man,hetro,37,4,5,4,4,2,3,4,3,4,4
Stigmatizing_Doubt-04,F,51,Hispanic,Man,hetro,36,4,5,5,2,2,3,4,3,4,4
Stigmatizing_Doubt-07,F,51,Hispanic,Man,hetro,34,4,4,4,2,2,3,4,3,4,4
Stigmatizing_Blame-01,F,51,Hispanic,Man,hetro,34,4,4,4,2,2,3,4,3,4,4
Stigmatizing_Blame-04,F,51,Hispanic,Man,hetro,34,4,4,4,2,2,3,4,3,4,4
Stigmatizing_Blame-07,F,51,Hispanic,Man,hetro,39,4,5,5,2,4,3,4,3,4,5
Stigmatizing_Stereotyping-01,F,51,Hispanic,Man,hetro,37,4,5,5,2,2,3,4,3,4,5
Stigmatizing_Stereotyping-04,F,51,Hispanic,Man,hetro,34,4,4,4,2,2,3,4,3,4,4
Stigmatizing_Stereotyping-07,F,51,Hispanic,Man,hetro,34,4,5,4,2,2,2,4,3,4,4
Neutral-01,F,51,Hispanic,Woman,hetro,36,4,5,5,2,1,2,5,3,4,5
Stigmatizing-01,F,51,Hispanic,Woman,hetro,50,5,5,5,5,5,5,5,5,5,5
Stigmatizing-04,F,51,Hispanic,Woman,hetro,37,4,5,5,4,2,2,4,3,4,4
Stigmatizing-07,F,51,Hispanic,Woman,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing-14,F,51,Hispanic,Woman,hetro,37,4,5,4,2,4,3,4,3,4,4
Stigmatizing-21,F,51,Hispanic,Woman,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing_Doubt-01,F,51,Hispanic,Woman,hetro,35,4,5,5,2,2,2,4,3,4,4
Stigmatizing_Doubt-04,F,51,Hispanic,Woman,hetro,37,4,5,5,2,2,3,4,3,4,5
Stigmatizing_Doubt-07,F,51,Hispanic,Woman,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing_Blame-01,F,51,Hispanic,Woman,hetro,36,4,5,5,2,2,2,4,3,4,5
Stigmatizing_Blame-04,F,51,Hispanic,Woman,hetro,37,4,5,5,2,2,2,5,3,4,5
Stigmatizing_Blame-07,F,51,Hispanic,Woman,hetro,34,4,5,4,2,2,2,4,3,4,4
Stigmatizing_Stereotyping-01,F,51,Hispanic,Woman,hetro,40,4,5,5,5,1,2,5,4,4,5
Stigmatizing_Stereotyping-04,F,51,Hispanic,Woman,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing_Stereotyping-07,F,51,Hispanic,Woman,hetro,35,4,5,4,2,2,3,4,3,4,4
Neutral-01,F,52,Black,Man,hetro,37,4,5,5,2,2,2,5,3,4,5
Stigmatizing-01,F,52,Black,Man,hetro,37,4,5,5,4,2,2,4,3,4,4
Stigmatizing-04,F,52,Black,Man,hetro,34,4,4,4,2,2,3,4,3,4,4
Stigmatizing-07,F,52,Black,Man,hetro,40,4,5,5,2,4,3,5,3,4,5
Stigmatizing-14,F,52,Black,Man,hetro,39,4,5,5,3,4,3,4,3,4,4
Stigmatizing-21,F,52,Black,Man,hetro,34,4,4,4,2,2,3,4,3,4,4
Stigmatizing_Doubt-01,F,52,Black,Man,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing_Doubt-04,F,52,Black,Man,hetro,35,4,5,5,2,2,2,4,3,4,4
Stigmatizing_Doubt-07,F,52,Black,Man,hetro,36,4,5,5,2,2,3,4,3,4,4
Stigmatizing_Blame-01,F,52,Black,Man,hetro,38,4,5,5,2,2,3,5,3,4,5
Stigmatizing_Blame-04,F,52,Black,Man,hetro,36,4,5,5,2,2,3,4,3,4,4
Stigmatizing_Blame-07,F,52,Black,Man,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing_Stereotyping-01,F,52,Black,Man,hetro,34,4,4,4,2,2,3,4,3,4,4
Stigmatizing_Stereotyping-04,F,52,Black,Man,hetro,36,4,5,5,2,2,3,4,3,4,4
Stigmatizing_Stereotyping-07,F,52,Black,Man,hetro,38,4,5,5,4,2,3,4,3,4,4
Neutral-01,F,52,Black,Woman,hetro,34,4,4,4,2,2,3,4,3,4,4
Stigmatizing-01,F,52,Black,Woman,hetro,34,4,5,4,2,2,2,4,3,4,4
Stigmatizing-04,F,52,Black,Woman,hetro,34,4,4,4,2,2,3,4,3,4,4
Stigmatizing-07,F,52,Black,Woman,hetro,34,4,4,4,2,2,3,4,3,4,4
Stigmatizing-14,F,52,Black,Woman,hetro,41,4,5,5,2,4,3,5,4,4,5
Stigmatizing-21,F,52,Black,Woman,hetro,39,4,5,5,2,4,3,4,3,4,5
Stigmatizing_Doubt-01,F,52,Black,Woman,hetro,39,4,5,5,5,1,2,4,4,4,5
Stigmatizing_Doubt-04,F,52,Black,Woman,hetro,46,5,5,5,5,5,1,5,5,5,5
Stigmatizing_Doubt-07,F,52,Black,Woman,hetro,33,3,4,3,3,3,3,4,3,3,4
Stigmatizing_Blame-01,F,52,Black,Woman,hetro,38,4,5,5,4,2,3,4,3,4,4
Stigmatizing_Blame-04,F,52,Black,Woman,hetro,36,4,5,4,2,2,3,4,3,4,5
Stigmatizing_Blame-07,F,52,Black,Woman,hetro,39,4,5,5,4,2,3,4,3,4,5
Stigmatizing_Stereotyping-01,F,52,Black,Woman,hetro,36,4,5,5,2,2,2,4,3,4,5
Stigmatizing_Stereotyping-04,F,52,Black,Woman,hetro,37,4,5,4,2,4,3,4,3,4,4
Stigmatizing_Stereotyping-07,F,52,Black,Woman,hetro,37,4,5,5,2,2,2,5,3,4,5
Neutral-01,F,52,White,Man,hetro,38,4,5,5,2,4,3,4,3,4,4
Stigmatizing-01,F,52,White,Man,hetro,34,4,5,4,2,2,2,4,3,4,4
Stigmatizing-04,F,52,White,Man,hetro,34,4,4,4,2,2,3,4,3,4,4
Stigmatizing-07,F,52,White,Man,hetro,39,4,5,5,2,4,3,4,3,4,5
Stigmatizing-14,F,52,White,Man,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing-21,F,52,White,Man,hetro,35,4,4,4,3,3,3,4,2,4,4
Stigmatizing_Doubt-01,F,52,White,Man,hetro,37,4,5,4,2,4,3,4,3,4,4
Stigmatizing_Doubt-04,F,52,White,Man,hetro,35,4,5,4,2,2,3,4,3,4,4
